gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
911707487,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:76305,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,"MUNICIPIO DE GUANARITO, LA ARENOSA",Portuguesa,PRESENT,,acac73b0-055d-11d8-b84f-b8a03c50a862,9.16667,-69.25,123599,,,,,,1997-02-27T00:00:00,27,2,1997,2439344,2439344,PRESERVED_SPECIMEN,TTU,Mammals,76305,521,,,CC_BY_4_0,,"TESH, R; PEPPERS, L L",,Native,2023-09-07T08:08:26.423Z,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
911707453,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:76304,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,"MUNICIPIO DE GUANARITO, LA ARENOSA",Portuguesa,PRESENT,,acac73b0-055d-11d8-b84f-b8a03c50a862,9.16667,-69.25,123599,,,,,,1997-02-27T00:00:00,27,2,1997,2439344,2439344,PRESERVED_SPECIMEN,TTU,Mammals,76304,520,,,CC_BY_4_0,,"TESH, R; PEPPERS, L L",,Native,2023-09-07T08:08:26.423Z,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
911679308,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:48183,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,55 KM S CALABOZO LLANOS,Guárico,PRESENT,,acac73b0-055d-11d8-b84f-b8a03c50a862,8.43605,-67.433327,48892,,,,,,1976-09-13T00:00:00,13,9,1976,2439344,2439344,PRESERVED_SPECIMEN,TTU,Mammals,48183,,,,CC_BY_4_0,,"O'CONNELL, M A",,Native,2023-09-07T08:08:26.111Z,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
911679253,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:48184,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,55 KM S CALABOZO LLANOS,Guárico,PRESENT,,acac73b0-055d-11d8-b84f-b8a03c50a862,8.43605,-67.433327,48892,,,,,,1976-09-18T00:00:00,18,9,1976,2439344,2439344,PRESERVED_SPECIMEN,TTU,Mammals,48184,,,,CC_BY_4_0,,"O'CONNELL, M A",,Native,2023-09-07T08:08:26.111Z,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
911664720,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:33455,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,45 KM S CALABOZO,Guárico,PRESENT,,acac73b0-055d-11d8-b84f-b8a03c50a862,8.52647,-67.433327,41387,,,,,,1976-11-22T00:00:00,22,11,1976,2439344,2439344,PRESERVED_SPECIMEN,TTU,Mammals,33455,7,,,CC_BY_4_0,,"AUGUST, P V",,Native,2023-09-07T08:08:26.017Z,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
911664696,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:33454,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,45 KM S CALABOZO,Guárico,PRESENT,,acac73b0-055d-11d8-b84f-b8a03c50a862,8.52647,-67.433327,41387,,,,,,1976-11-23T00:00:00,23,11,1976,2439344,2439344,PRESERVED_SPECIMEN,TTU,Mammals,33454,6,,,CC_BY_4_0,,"AUGUST, P V",,Native,2023-09-07T08:08:26.017Z,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
911664671,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:33453,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,45 KM S CALABOZO,Guárico,PRESENT,,acac73b0-055d-11d8-b84f-b8a03c50a862,8.52647,-67.433327,41387,,,,,,1977-03-25T00:00:00,25,3,1977,2439344,2439344,PRESERVED_SPECIMEN,TTU,Mammals,33453,5,,,CC_BY_4_0,,"AUGUST, P V",,Native,2023-09-07T08:08:26.017Z,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
911664646,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:33452,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,45 KM S CALABOZO,Guárico,PRESENT,,acac73b0-055d-11d8-b84f-b8a03c50a862,8.52647,-67.433327,41387,,,,,,1976-12-17T00:00:00,17,12,1976,2439344,2439344,PRESERVED_SPECIMEN,TTU,Mammals,33452,3,,,CC_BY_4_0,,"AUGUST, P V",,Native,2023-09-07T08:08:26.017Z,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
911664178,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:33457,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,45 KM S CALABOZO,Guárico,PRESENT,,acac73b0-055d-11d8-b84f-b8a03c50a862,8.52647,-67.433327,41387,,,,,,1977-06-13T00:00:00,13,6,1977,2439344,2439344,PRESERVED_SPECIMEN,TTU,Mammals,33457,9,,,CC_BY_4_0,,"AUGUST, P V",,Native,2023-09-07T08:08:26.016Z,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
911664145,854f70cc-55e3-4af2-9417-0f47d6c7902d,urn:catalog:TTU:Mammals:33456,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,45 KM S CALABOZO,Guárico,PRESENT,,acac73b0-055d-11d8-b84f-b8a03c50a862,8.52647,-67.433327,41387,,,,,,1977-06-13T00:00:00,13,6,1977,2439344,2439344,PRESERVED_SPECIMEN,TTU,Mammals,33456,8,,,CC_BY_4_0,,"AUGUST, P V",,Native,2023-09-07T08:08:26.016Z,,COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
859537890,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-36193,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Macuro, Paria Peninsula",Sucre,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,152,0,,,1913-06-04T00:00:00,4,6,1913,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-36193,61,,,CC0_1_0,,L. E. Miller,,Native,2023-09-07T10:38:48.967Z,,TAXON_MATCH_HIGHERRANK
859537885,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-36192,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Macuro, Paria Peninsula",Sucre,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,152,0,,,1913-06-02T00:00:00,2,6,1913,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-36192,54,,,CC0_1_0,,L. E. Miller,,Native,2023-09-07T10:38:49.727Z,,TAXON_MATCH_HIGHERRANK
859537881,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-36191,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Macuro, Paria Peninsula",Sucre,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,152,0,,,1913-06-01T00:00:00,1,6,1913,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-36191,52,,,CC0_1_0,,L. E. Miller,,Native,2023-09-07T10:38:49.688Z,,TAXON_MATCH_HIGHERRANK
859537876,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-36190,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Macuro, Paria Peninsula",Sucre,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,152,0,,,1913-06-07T00:00:00,7,6,1913,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-36190,65,,,CC0_1_0,,L. E. Miller,,Native,2023-09-07T10:38:51.803Z,,TAXON_MATCH_HIGHERRANK
859537871,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-36189,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Macuro, Paria Peninsula",Sucre,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,152,0,,,1913-05-25T00:00:00,25,5,1913,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-36189,26,,,CC0_1_0,,L. E. Miller,,Native,2023-09-07T10:38:49.698Z,,TAXON_MATCH_HIGHERRANK
859537867,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-36188,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Macuro, Paria Peninsula",Sucre,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,152,0,,,1913-06-01T00:00:00,1,6,1913,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-36188,52,,,CC0_1_0,,L. E. Miller,,Native,2023-09-07T10:38:51.400Z,,TAXON_MATCH_HIGHERRANK
859537863,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-36187,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Macuro, Paria Peninsula",Sucre,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,152,0,,,1913-06-02T00:00:00,2,6,1913,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-36187,55,,,CC0_1_0,,L. E. Miller,,Native,2023-09-07T10:38:51.826Z,,TAXON_MATCH_HIGHERRANK
859537859,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-36186,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Macuro, Paria Peninsula",Sucre,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,152,0,,,1913-05-30T00:00:00,30,5,1913,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-36186,39,,,CC0_1_0,,L. E. Miller,,Native,2023-09-07T10:38:48.938Z,,TAXON_MATCH_HIGHERRANK
859536946,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-14731,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,Villarroel,Sucre,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,1898-11-29T00:00:00,29,11,1898,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-14731,25,,,CC0_1_0,,F. W. Urich,,Native,2023-09-07T10:38:51.283Z,,TAXON_MATCH_HIGHERRANK
859516566,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-276506,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,"Serrania de San Luis, Cabure, Camino Viejo",Falcón,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,2006-04-22T00:00:00,22,4,2006,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-276506,JOG 4520,Robert P. Anderson,,CC0_1_0,,J. Ochoa G.,,Native,2023-09-07T10:38:51.210Z,,
859516442,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-276505,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,"Serrania de San Luis, Cabure, Camino Viejo",Falcón,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,2006-04-21T00:00:00,21,4,2006,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-276505,JOG 4519,Robert P. Anderson,,CC0_1_0,,J. Ochoa G.,,Native,2023-09-07T10:38:52.263Z,,
859488972,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-131023,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,Cerro Auyan-tepui,Bolivar,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,460,0,,,1938-01-08T00:00:00,8,1,1938,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-131023,5922,,,CC0_1_0,,G. H. H. Tate,,Native,2023-09-07T10:38:50.562Z,,
859488969,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-131022,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda,,VE,Cerro Auyan-tepui,Bolivar,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,460,0,,,1938-01-08T00:00:00,8,1,1938,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-131022,5921,,,CC0_1_0,,G. H. H. Tate,,Native,2023-09-07T10:38:50.519Z,,
859475137,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-266937,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Palmarito Curbelero, near Guanarito",Portuguesa,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,1992-02-10T00:00:00,10,2,1992,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-266937,1368,,,CC0_1_0,,Wilson; Tesh,,Native,2023-09-07T10:38:51.182Z,,TAXON_MATCH_HIGHERRANK
859475132,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-266936,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Palmarito Curbelero, near Guanarito",Portuguesa,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,1992-02-10T00:00:00,10,2,1992,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-266936,1366,,,CC0_1_0,,Wilson; Tesh,,Native,2023-09-07T10:38:52.798Z,,TAXON_MATCH_HIGHERRANK
859475127,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-266935,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Palmarito Curbelero, near Guanarito",Portuguesa,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,1992-02-09T00:00:00,9,2,1992,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-266935,1365,,,CC0_1_0,,Wilson; Tesh,,Native,2023-09-07T10:38:52.528Z,,TAXON_MATCH_HIGHERRANK
859475122,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-266934,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda brevicauda,,VE,"Palmarito Curbelero, near Guanarito",Portuguesa,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,1992-02-09T00:00:00,9,2,1992,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-266934,1364,,,CC0_1_0,,Wilson; Tesh,,Native,2023-09-07T10:38:51.203Z,,TAXON_MATCH_HIGHERRANK
859474306,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-135449,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda cherriei,,VE,"San Miguel, Hacienda La Fortuna",Lara,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,970,0,,,1939-01-13T00:00:00,13,1,1939,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-135449,104,,,CC0_1_0,,A. Roe,,Native,2023-09-07T10:38:50.559Z,,TAXON_MATCH_HIGHERRANK
859474301,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-135448,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda cherriei,,VE,"San Miguel, Hacienda La Fortuna",Lara,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,970,0,,,1939-01-13T00:00:00,13,1,1939,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-135448,103,,,CC0_1_0,,A. Roe,,Native,2023-09-07T10:38:51.776Z,,TAXON_MATCH_HIGHERRANK
859474296,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-135447,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Zygodontomys,Zygodontomys brevicauda,,SPECIES,"Zygodontomys brevicauda (J.A.Allen & Chapman, 1893)",Zygodontomys brevicauda cherriei,,VE,"San Miguel, Hacienda La Fortuna",Lara,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,970,0,,,1939-01-12T00:00:00,12,1,1939,2439344,2439344,PRESERVED_SPECIMEN,AMNH,Mammals,M-135447,101,,,CC0_1_0,,A. Roe,,Native,2023-09-07T10:38:52.334Z,,TAXON_MATCH_HIGHERRANK
